TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1173.8,A,00,전국(평균)
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,808.9,A,11,서울특별시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1693.1,A,21,부산광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1047.6,A,22,대구광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,595.3,A,23,인천광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1290.3,A,24,광주광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1117.7,A,25,대전광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1398.7,A,26,울산광역시
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,799,A,31,경기도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1006,A,32,강원도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,990.5,A,33,충청북도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1060.7,A,34,충청남도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1281.9,A,35,전라북도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1486.4,A,36,전라남도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1153.8,A,37,경상북도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1579,A,38,경상남도
강수량(시도),2014,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1887.3,A,39,제주특별자치도
