TBL_NM,ITM_NM_ENG,ITM_ID,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C2_OBJ_NM,C3_OBJ_NM,C2,C1_NM_ENG,C2_NM_ENG,C3_NM_ENG,PRD_DE,ITM_NM,TBL_ID,UNIT_NM,C1_OBJ_NM_ENG,C2_OBJ_NM_ENG,C3_OBJ_NM_ENG,C3,DT,PRD_SE,C1,C1_NM,C2_NM,C3_NM
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Whole country,Total,Total,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0001,329553922.5,A,00,전국,전체,합계
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Whole country,Total,Sedan,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0002,242695453.5,A,00,전국,전체,승용차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Whole country,Total,Vans,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0003,17904371.8,A,00,전국,전체,승합차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Whole country,Total,Freight,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0004,64973931.6,A,00,전국,전체,화물차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Whole country,Total,Special,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0005,3980165.6,A,00,전국,전체,특수차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Seoul,Total,Total,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0001,40114689.7,A,11,서울특별시,전체,합계
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Seoul,Total,Sedan,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0002,30605201.9,A,11,서울특별시,전체,승용차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Seoul,Total,Vans,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0003,2366011.2,A,11,서울특별시,전체,승합차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Seoul,Total,Freight,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0004,6958913.2,A,11,서울특별시,전체,화물차
용도별 차종별 시군구별 자동차주행거리,Vehicle kilometer per annual,T002,426,Thousand ㎞,행정구역별,자동차등록용도별,차종별,0001,Seoul,Total,Special,2019,연간 주행거리,DT_426001_N004,천㎞,City/Province,Purpose of Use,Vehicle Type,0005,184563.4,A,11,서울특별시,전체,특수차
